Year,Age,Team,Name,rink
2017,25, SK,정진기,10717
2008,26, 삼성,채태인,10331
2005,19, LG,박병호,10470
2016,21, 넥센,임병욱,11226
2001,20, 한화,이범호,10559
2019,29, 삼성,이학주,14114
2005,21, 롯데,박정준,10259
2006,24, SK,박재상,10112
2022,20, 키움,김휘집,14785
2015,22, 삼성,구자욱,10892
2005,22, LG,이대형,10490
2012,23, 넥센,서건창,10855
2021,19, LG,이영빈,14783
2022,22, NC,오영수,13082
2018,22, 넥센,송성문,11376
2018,19, 넥센,김혜성,12905
2015,27, 두산,김재환,10643
2017,28, 롯데,황진수,10257
2018,19, KT,강백호,13168
2023,24, 삼성,김성윤,12936
2017,21, LG,안익훈,11347
2004,23, SK,이대수,10558
2001,20, 롯데,김주찬,10239
2005,20, KIA,김주형,10650
2021,27, 두산,장승현,11097
2002,20, 롯데,이대호,10251
2012,18, 한화,하주석,10913
2021,24, NC,박준영,12522
2018,24, KIA,한승택,11119
2022,22, SSG,전의산,14699
2022,27, 키움,임지열,11225
2017,20, 넥센,주효상,12567
2016,26, SK,김동엽,12548
2013,23, LG,문선재,10468
2022,22, 삼성,이해승,14121
2014,22, SK,박계현,10803
2017,26, 롯데,나경민,12592
2005,21, 현대,지석훈,10683
2021,22, 한화,이원석,13138
2020,25, 삼성,김호재,13240
2017,21, 넥센,김웅빈,12503
2017,20, KIA,최원준,12534
2022,25, 한화,이진영,12539
2020,20, 한화,최인호,14707
2015,22, NC,김성욱,11153
2022,19, 삼성,이재현,15034
2021,19, 두산,안재석,14771
2007,20, 두산,민병헌,10188
2015,27, KT,김지열,10551
2021,21, 한화,유로결,14126
2016,22, 두산,류지혁,10894
2016,27, 두산,국해성,10172
2017,19, 넥센,이정후,12906
2009,20, 한화,오선진,10557
2020,20, 삼성,박승규,14122
2019,26, NC,강진성,11148
2006,19, SK,최정,10106
2023,27, 삼성,김동진,14863
2023,21, SSG,조형우,14806
2022,23, KIA,김석환,12917
2016,24, KIA,오준혁,10672
2014,21, NC,박민우,11137
2021,19, 롯데,나승엽,14797
2015,21, 한화,장운호,11122
2020,21, SK,최준우,13128
2020,19, 한화,임종찬,14706
2012,25, 롯데,정훈,10253
2023,19, 한화,문현빈,15422
2022,20, 삼성,김현준,14867
